new_id,id,translated_name,predicted_segment,predicted_family,predicted_class,predicted_brick
2386,1448,Al Daha Barthman Blended Peppers 220 gm,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
2388,1450,Fisherman Tuna Solid Olive Oil Brine 170g,Food/Beverage,Fish and Seafood,Aquatic Invertebrates/Fish/Shellfish/Seafood Combination,Aquatic Invertebrates/Fish/Shellfish/Seafood Mixes - Unprepared/Unprocessed (Frozen)
2401,1467,Cabbage Chips Bravo - 50g,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
2403,1469,Shaheen Coffee light coral 200 gm,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
2409,1479,Eggplant Bride Weight,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
2413,1496,Tiger Big Peppers 17-160,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
2459,1601,Pescato Digesta Mini - 4 Pieces - 12 Pack,Food/Beverage,Fish and Seafood,Aquatic Invertebrates/Fish/Shellfish/Seafood Combination,Aquatic Invertebrates/Fish/Shellfish/Seafood Mixes - Unprepared/Unprocessed (Frozen)
2513,1746,Raw Kettle Cooked Potatoes With Salt 125 Gm,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
2522,1767,Garm Frites Potatoes,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
2558,1834,Shaykhun Onion,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
2598,1931,Vegetables and Vegetables 400g,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
2605,1941,Nescafe 3*1 Nuts,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
2607,1943,Bonjorno Cafe Cinnamon And Cocoa Latte - 18 Grams - 12 Saches,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
2644,2014,Pharm Frits Potato Pomfret 2.5kg,Food/Beverage,Fish and Seafood,Aquatic Invertebrates/Fish/Shellfish/Seafood Combination,Aquatic Invertebrates/Fish/Shellfish/Seafood Mixes - Unprepared/Unprocessed (Frozen)
2653,2036,Cappuccino Brick Vanilla 3*1 18C,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
2659,2047,Vita Tetra Pak 250g Brigo,Food/Beverage,Prepared/Preserved Foods,Baby/Infant - Foods/Beverages,Baby/Infant - Specialised Foods (Shelf Stable)
2660,2048,Natural Black Olive Hills 1kg,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
2664,2053,Nescafe Gold Cappuccino Vanilla Coffee - 18.5 grams - 12 bags,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
2666,2055,Montana Green Beans 400g,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
2669,2058,Peach Half Amr - 850g,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
2726,2161,Pongorno Cappuccino Mocha 14c,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
2763,2223,Arlequin cut octopus in sauce 1l 111g,Food/Beverage,Fish and Seafood,Aquatic Invertebrates/Fish/Shellfish/Seafood Combination,Aquatic Invertebrates/Fish/Shellfish/Seafood Mixes - Unprepared/Unprocessed (Frozen)
2764,2224,Aboaf Coffee Brazily,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
2781,2257,MAGGI COFFEE MIX - 40g,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
2785,2262,Givrex Frozen Chopped Spinach - 400g,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
2818,2320,Pineapple 235 ml,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
2819,2322,Nestl 38m,Food/Beverage,Prepared/Preserved Foods,Baby/Infant - Foods/Beverages,Baby/Infant - Specialised Foods (Shelf Stable)
2833,2346,Cabbage Filler,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
2860,2404,Sunshine Tuna 2 Packs 186  320g sauce,Food/Beverage,Fish and Seafood,Aquatic Invertebrates/Fish/Shellfish/Seafood Combination,Aquatic Invertebrates/Fish/Shellfish/Seafood Mixes - Unprepared/Unprocessed (Frozen)
2889,2445,Segafredo Espresso Perte Intenso Coffee Capsules - 10 Count,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
2903,2474,Cellotype Crystal 625 Apple Pack,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
2905,2479,Orouba Dark Ground Coffee with Cardamom - 200 gram,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
2910,2484,Shaheen K/Coffee Special Elite,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
2916,2491,Bonjorno Cappuccino Latte Cinnamon Kaka 18g,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
2917,2492,Faulia Green Sliced Sunshine - 400gm,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
2934,2512,Chibsy Roe Tastes Creamy With Herbs,Food/Beverage,Fish and Seafood,Aquatic Invertebrates/Fish/Shellfish/Seafood Combination,Aquatic Invertebrates/Fish/Shellfish/Seafood Mixes - Unprepared/Unprocessed (Frozen)
2957,2544,Kaizen Green Coffee,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
2980,121,Triva Tuna Light In Vegetable Oil 170g,Food/Beverage,Fish and Seafood,Aquatic Invertebrates/Fish/Shellfish/Seafood Combination,Aquatic Invertebrates/Fish/Shellfish/Seafood Mixes - Unprepared/Unprocessed (Frozen)
3013,2575,Shaheen Coffee light plain 100 g,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
3022,2591,"Shaykhun Lemon Stuffed Celery, By Weight",Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
3037,2635,Yamani Coffee plan med. 200gm,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
3065,2712,Jefferx Green Beans 400g,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
3067,2714,Nescafe 3in1 Stick Choc 18g,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
3076,2724,Nestl Nescafe Classic Pack 1*2 g 1 0,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
3093,2773,Nescaf 3 * 1 Original,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
3119,2873,Medical bottle muzzle 3 layers and support 50 pieces,Food/Beverage,Prepared/Preserved Foods,Baby/Infant - Foods/Beverages,Baby/Infant - Specialised Foods (Shelf Stable)
3127,2884,Little Bami Sunshine - 400gm,Food/Beverage,Prepared/Preserved Foods,Baby/Infant - Foods/Beverages,Baby/Infant - Specialised Foods (Shelf Stable)
3137,2909,Gimoka Cortado Dolce Gusto Coffee Capsules - 16 Capsules,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
3158,2982,Banana Lava Kendos,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
3182,3030,Molukhia Americana - 400 gm,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
3194,3049,the Baba Gnog,Food/Beverage,Prepared/Preserved Foods,Baby/Infant - Foods/Beverages,Baby/Infant - Specialised Foods (Shelf Stable)
3202,3063,LuLu Frozen Green Peas 400g,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
3215,3103,Mokate Gold Classic Cappuccino - 18g x10,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
3218,3107,Faragello Frozen Okra Zero - 400 Gram,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
3221,3110,Jemoka Lango Coffee Capsules - Pack of 16,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
3224,3116,Montana Green Beans 400g,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
3228,3124,Tiger Family Cheetah,Food/Beverage,Prepared/Preserved Foods,Baby/Infant - Foods/Beverages,Baby/Infant - Specialised Foods (Shelf Stable)
3248,3180,"Tuna Sunshine Lobes .000 22,000 .000 56.000",Food/Beverage,Fish and Seafood,Aquatic Invertebrates/Fish/Shellfish/Seafood Combination,Aquatic Invertebrates/Fish/Shellfish/Seafood Mixes - Unprepared/Unprocessed (Frozen)
3254,3195,Coffee Mix 3*1 Envelope,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
3269,3272,Lavazza Ben Roasted Grinded Capsule Legero 100% 55g,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
3288,3340,Kenana Oyster Mushroom Slices 400 gm,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
3289,3342,Tiger Potatoes Sweet Peppers 126-136,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
3308,3378,Sunshine Express Light Meat Tuna Chunk 150g,Food/Beverage,Fish and Seafood,Aquatic Invertebrates/Fish/Shellfish/Seafood Combination,Aquatic Invertebrates/Fish/Shellfish/Seafood Mixes - Unprepared/Unprocessed (Frozen)
3312,3386,Rani Pineapple 240m,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
3323,3444,Americana Vegetable Form 7 Items 400 g,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
3324,3445,Three Chefs Sunflower Tuna - 140g,Food/Beverage,Fish and Seafood,Aquatic Invertebrates/Fish/Shellfish/Seafood Combination,Aquatic Invertebrates/Fish/Shellfish/Seafood Mixes - Unprepared/Unprocessed (Frozen)
3327,3448,FQS Organic Greek Green Pitted Olives 360g,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
3328,3449,Chibs and Lemon 89-99g,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
3331,3452,Nescafe 3*1 Coffee21gm,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
3347,3493,Rene Sublimo Espresso Capsules 10pcs,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
3361,3533,Nescafe Box 3*1,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
3366,3579,Nestl Parts,Food/Beverage,Prepared/Preserved Foods,Baby/Infant - Foods/Beverages,Baby/Infant - Specialised Foods (Shelf Stable)
3386,3646,Rene Espresso Cafe Creme Classico 10 Pcs,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
3405,3689,Long Sheeps Tomato 75g,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
3420,3737,Segafredo Entenseo Espresso Capsules - 51gm - Pack of 10,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
3433,153,Green Stuffed,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
3450,175,Basma Strawberry 400g,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
3504,3827,Amanda Brisling Sardines in Tomato Sauce 190g,Food/Beverage,Fish and Seafood,Aquatic Invertebrates/Fish/Shellfish/Seafood Combination,Aquatic Invertebrates/Fish/Shellfish/Seafood Mixes - Unprepared/Unprocessed (Frozen)
3537,3913,Food Lemon Valley 400gm,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
3544,3931,Nescafe Gold 3*1 21 EGP,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
3575,4052,Vegetables for a Glyce,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
3595,4093,Abu Auf Coffee Pads Light 100gm,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
3599,4105,Kalamata Jumbo Oliveta - Weighing,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
3615,4137,Taza Sweet Corn 3pcs,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
3664,4196,Bastram city garlic peel,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
3686,4235,Up Juice Mango Powder kg,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
3692,4245,Egyptian Olives Klamanta,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
3740,4344,T 8.50 Nescaf Classic 18 (M),Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
3746,4359,Kalamata Olive Giant 250g,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
3761,4387,Wadi Food GRN Olive Sliced650G,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
3765,4393,Modern Onion,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
3775,4408,Lactyl Duet 440g Mango,Food/Beverage,Prepared/Preserved Foods,Baby/Infant - Foods/Beverages,Baby/Infant - Specialised Foods (Shelf Stable)
3784,4424,Toledo Tuna Diet 185g,Food/Beverage,Fish and Seafood,Aquatic Invertebrates/Fish/Shellfish/Seafood Combination,Aquatic Invertebrates/Fish/Shellfish/Seafood Mixes - Unprepared/Unprocessed (Frozen)
3806,4519,Coffee Mix Canister,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
3810,4526,Hans 2 in 1 Instant Coffee Cup - 20g - 6 cups,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
3821,4561,Live Age 5 Spinneys,Food/Beverage,Prepared/Preserved Foods,Baby/Infant - Foods/Beverages,Baby/Infant - Specialised Foods (Shelf Stable)
3831,4621,Egypt Cafe Coffee Classic 100g,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
3832,4628,Nescaf 1.8g,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
3837,4640,Heinz Petit Souss,Food/Beverage,Prepared/Preserved Foods,Baby/Infant - Foods/Beverages,Baby/Infant - Specialised Foods (Shelf Stable)
3882,4720,Bonbon Coffee 120 st,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
3886,4725,Sunshine Tuna sliced lemon and pepper in sunflower oil 120g,Food/Beverage,Fish and Seafood,Aquatic Invertebrates/Fish/Shellfish/Seafood Combination,Aquatic Invertebrates/Fish/Shellfish/Seafood Mixes - Unprepared/Unprocessed (Frozen)
3904,4756,Karma Tomato 1k,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
3906,215,Rio Mare Light Tuna with Olive Oil 380g,Food/Beverage,Fish and Seafood,Aquatic Invertebrates/Fish/Shellfish/Seafood Combination,Aquatic Invertebrates/Fish/Shellfish/Seafood Mixes - Unprepared/Unprocessed (Frozen)
3909,220,Lulu - Frozen Green Peas 400g,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
3923,249,Coffee Mix,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
3977,339,My Tuna Light Solid Skipjack Tuna at Sunflower Oil 185g,Food/Beverage,Fish and Seafood,Aquatic Invertebrates/Fish/Shellfish/Seafood Combination,Aquatic Invertebrates/Fish/Shellfish/Seafood Mixes - Unprepared/Unprocessed (Frozen)
3987,350,Dina Rumman Farms 850gm,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
4010,399,Besma Strawberry 400g,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
4020,425,Abu Auf Instant Coffee Classic 2,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
4039,447,Abu Auf Coffee Turkish Embedded Medium 250 EGP,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
4047,460,Sunshine Frozen Green Beans - 400 Gram,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
4072,502,Davidoff Soft Coffee Flavour 250 gm,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
4127,690,Coffe Plastic Cup,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
4132,697,Fisherman Salmon 170g Diet,Food/Beverage,Fish and Seafood,Aquatic Invertebrates/Fish/Shellfish/Seafood Combination,Aquatic Invertebrates/Fish/Shellfish/Seafood Mixes - Unprepared/Unprocessed (Frozen)
4152,732,California Garden Tuna Sunflower Oil 120 gm,Food/Beverage,Fish and Seafood,Aquatic Invertebrates/Fish/Shellfish/Seafood Combination,Aquatic Invertebrates/Fish/Shellfish/Seafood Mixes - Unprepared/Unprocessed (Frozen)
4157,739,Nescaf Gold 50g,Food/Beverage,Beverages,Coffee/Coffee Substitutes,Coffee - Ground Beans
4160,744,Frutti Gato,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
